Geography,Year,Sex,Incidence Rate (Age-standardized),Incident Cases (Across all ages),Population At-Risk (Across All Ages),Standard Error,Standard Score,Alberta Rate
Z4,2015,BOTH,27.265,285.0,1318820.3384,1.62,1.53,24.775
Z4,2015,FEMALE,19.231,111.0,652522.11893,1.83,0.72,17.915
Z4,2015,MALE,38.077,174.0,666298.21943,2.94,1.61,33.338
Z4,2016,BOTH,34.024,363.0,1344060.8436,1.79,2.45,29.627
Z4,2016,FEMALE,22.443,131.0,667431.78621,1.97,0.65,21.156
Z4,2016,MALE,49.959,232.0,676629.05736,3.33,2.85,40.467
Z4,2017,BOTH,31.83,354.0,1366931.4006,1.7,1.43,29.394
Z4,2017,FEMALE,22.534,137.0,680564.16884,1.93,0.57,21.429
Z4,2017,MALE,44.159,217.0,686367.23172,3.04,1.5,39.596
Z4,2018,BOTH,27.458,320.0,1391193.0431,1.54,-0.88,28.824
Z4,2018,FEMALE,19.434,124.0,693211.94737,1.76,-0.57,20.429
Z4,2018,MALE,37.72,196.0,697981.09572,2.74,-0.48,39.03
Z4,2019,BOTH,27.776,341.0,1416594.0786,1.52,-0.93,29.181
Z4,2019,FEMALE,21.19,141.0,706667.95932,1.8,-0.41,21.923
Z4,2019,MALE,35.889,200.0,709926.11925,2.58,-0.88,38.16
Z4,2020,BOTH,29.625,377.0,1439616.8856,1.54,1.87,26.747
Z4,2020,FEMALE,20.902,145.0,718485.03329,1.75,1.92,17.548
Z4,2020,MALE,40.863,232.0,721131.85228,2.73,1.07,37.939
Z5,2004,BOTH,18.532,41.0,389063.62371,2.94,-1.91,24.141
Z5,2004,FEMALE,19.257,22.0,186959.50428,4.12,0.46,17.354
Z5,2004,MALE,17.842,19.0,202104.11943,4.3,-3.71,33.816
Z5,2005,BOTH,21.018,48.0,398038.25844,3.09,-1.27,24.936
Z5,2005,FEMALE,13.888,16.0,190831.89543,3.49,-0.85,16.865
Z5,2005,MALE,28.168,32.0,207206.363,5.26,-1.41,35.595
Z5,2006,BOTH,17.986,45.0,407118.38576,2.72,-2.29,24.209
Z5,2006,FEMALE,13.391,16.0,194686.7324,3.36,-1.66,18.961
Z5,2006,MALE,22.127,29.0,212431.65336,4.22,-2.24,31.565
Z5,2007,BOTH,25.365,60.0,417629.73843,3.32,0.22,24.627
Z5,2007,FEMALE,17.223,21.0,199375.00184,3.77,-0.28,18.289
Z5,2007,MALE,34.693,39.0,218254.73659,5.84,0.28,33.082
Z5,2008,BOTH,16.178,41.0,426332.62865,2.57,-2.36,22.229
Z5,2008,FEMALE,11.907,15.0,203680.59514,3.1,-1.26,15.812
Z5,2008,MALE,20.23,26.0,222652.03351,4.07,-2.55,30.599
Z5,2009,BOTH,24.256,58.0,433971.9215,3.23,-0.29,25.195
Z5,2009,FEMALE,13.894,18.0,207382.9624,3.3,-1.5,18.837
Z5,2009,MALE,38.325,40.0,226588.9591,6.36,0.74,33.61
Z5,2010,BOTH,29.123,76.0,439909.62951,3.39,1.15,25.232
Z5,2010,FEMALE,22.744,30.0,210372.78597,4.17,1.28,17.428
